hgnc_symbol	TCGA.A7.A13D.01A.13R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07
TSPAN6	33.1976	34.083
TNMD	0	22.5726
DPM1	116.45	57.6085
SCYL3	4.2842	6.5378
C1orf112	9.0514	1.5583
FGR	3.408	7.3309
CFH	9.3476	73.1292
FUCA2	45.1569	36.3847
GCLC	5.3149	16.1268
NFYA	34.3415	15.8612
STPG1	4.6724	2.9843
NIPAL3	19.0161	9.9377
LAS1L	20.4231	7.0892
ENPP4	7.2737	24.1875
SEMA3F	25.7024	18.3531
CFTR	0.1455	0.1132
ANKIB1	29.975	24.8934
CYP51A1	1.428	0.564
KRIT1	3.0481	2.3015
RAD52	3.0139	4.2472
BAD	13.321	9.1453
LAP3	63.3414	73.6661
CD99	137.772	146.089
HS3ST1	1.5435	1.5306
AOC1	0.0264	0.2171
WNT16	0.0459	0.0398
HECW1	0.0895	0.0652
MAD1L1	0.2277	0.0898
LASP1	86.5696	72.6524
SNX11	12.2173	20.9174
TMEM176A	3.0135	26.6434
M6PR	46.8752	36.3292
KLHL13	2.7152	6.1096
CYP26B1	3.2036	19.4042
ICA1	19.4452	9.446
DBNDD1	46.6972	1.7649
ALS2	8.6569	6.7735
CASP10	7.378	7.8308
CFLAR	10.4123	22.0609
TFPI	5.3712	19.5476
NDUFAF7	14.0899	7.9285
RBM5	10.218	18.1691
MTMR7	0.4321	0.3685
SLC7A2	0.4545	18.2929
ARF5	194.1954	61.9519
SARM1	0.4808	0.8182
POLDIP2	118.0296	92.2427
PLXND1	38.018	69.6326
AK2	48.6512	29.45
CD38	0.1091	0.9276
FKBP4	122.8104	28.2762
KDM1A	100.1851	26.3353
RBM6	16.6249	24.1925
CAMKK1	4.1484	3.4229
RECQL	17.0719	23.9074
HSPB6	3.9361	147.6521
ARHGAP33	8.5562	1.4396
NDUFAB1	85.9631	69.5716
PDK4	26.1336	344.9342
SLC22A16	0.1149	0.0554
ZMYND10	0.3972	0.3295
ABCB5	0.0216	3.4729
ARX	0	0.0139
SLC25A13	65.8861	10.6132
ST7	9.8858	9.8592
CDC27	24.158	28.4952
SLC4A1	0.0097	0.0338
CALCR	0.0236	0.6047
HCCS	34.5839	22.124
DVL2	23.4895	9.4735
PRSS22	55.5672	1.0527
UPF1	36.1717	33.2607
SKAP2	16.2688	38.2328
SLC25A5	680.7266	222.4673
HOXA11	0.7852	0.7295
POLR2J	89.2225	31.7413
DHX33	14.4023	8.177
MEOX1	0.1493	40.049
THSD7A	0.5483	2.9557
LIG3	14.8089	2.7368
RPAP3	17.5147	9.4545
ACSM3	0.6577	0.8412
CIAPIN1	36.4444	20.1445
SPPL2B	9.8123	6.3688
COPZ2	35.6701	72.9036
PRKAR2B	9.8339	540.2448
MSL3	15.9175	6.7735
CREBBP	15.5304	19.8581
MPO	0.0566	0.1349
PON1	0.5446	0.1303
GCFC2	11.5466	11.6451
WDR54	6.9105	3.8687
CROT	6.0833	8.0301
ABCB4	0.4197	0.9686
KMT2E	23.1548	23.6286
RHBDD2	110.5213	50.185
SOX8	1.5739	0.513
IBTK	10.1061	22.1581
ZNF195	5.3768	3.6652
MYCBP2	7.7806	43.4315
FBXL3	10.0411	26.3553
ITGAL	0.7335	1.9696
PDK2	4.104	33.9605
ITGA3	13.6981	14.1744
ZFX	15.2496	17.074
LAMP2	214.3049	57.6293
ITGA2B	0.552	0.3647
ASB4	1.7441	0.2536
GDE1	29.1757	46.502
CRLF1	32.4564	3.3396
OSBPL7	1.6095	2.0673
TMEM98	16.5164	18.2353
YBX2	8.587	6.7085
KRT33A	0.0766	0
MAP3K14	15.9422	4.4429
ABCC8	0	0.2544
CACNG3	0	0
TMEM132A	54.5597	1.6299
AP2B1	100.4151	89.8614
TAC1	0.0583	0.9604
ZNF263	12.5615	8.2916
CX3CL1	44.9226	28.2992
SPATA20	12.3032	25.2951
CACNA1G	0.0595	0.43
TNFRSF12A	546.0507	6.5348
DLX6	4.4319	0.1256
MAP3K9	7.2067	0.786
RALA	120.8139	63.8942
BAIAP2L1	49.7919	3.3298
KDM7A	28.6614	11.5578
ETV1	2.6621	2.5876
AGK	10.2804	5.3839
ALDH3B1	3.5392	4.2316
TTC22	7.0136	0.7505
PHTF2	13.1577	7.2516
CCL26	2.1292	1.1079
FARP2	9.7284	4.3868
USH1C	2.8387	0.0176
GGCT	105.7381	26.1135
DBF4	14.4745	2.599
TBXA2R	3.6358	2.3571
IFRD1	5.8091	3.4716
LGALS14	0	0.0957
COX10	6.5803	6.2124
GTF2IRD1	23.9995	4.9468
PAF1	92.3502	39.7621
VPS41	21.723	25.3296
ARHGAP44	1.7288	1.4528
ELAC2	33.7552	28.2529
SCIN	1.3218	0.428
ARSD	16.9229	12.4523
PNPLA4	11.0732	19.5225
MYH13	0.269	0.0919
ADIPOR2	47.2085	101.639
CDKL3	0.3169	0.3573
UPP2	0.1181	0.3219
PRSS21	0.0254	0.9459
MARK4	44.1532	8.3275
PROM1	83.2972	8.0945
CCDC124	93.0919	39.1011
CEACAM21	1.0348	1.0724
PAFAH1B1	26.2937	31.1
NOS2	2.7789	0.4131
DNAH9	0.0118	0.7611
SLC13A2	0.0619	4.0104
GAS7	4.8677	34.0428
TRAPPC6A	102.1437	23.6983
MATK	7.078	0.6588
CEACAM7	0	0.0163
CD79B	0.5323	2.4132
SCN4A	0.0726	10.7084
ST7L	1.8954	3.0739
TKTL1	0.0142	0.1473
PAX6	0.0508	0.0189
RPUSD1	22.6142	5.8442
RHBDF1	18.7438	12.4507
LUC7L	6.9479	9.8224
CACNA2D2	0.8587	1.2499
BAIAP3	1.1271	1.2466
TSR3	52.8231	35.5808
PIGQ	9.1712	6.031
TEAD3	52.6937	12.7296
SELE	0.4787	0.7737
DNAJC11	20.9672	12.6241
FMO3	0.9866	2.8813
MYLIP	21.8292	56.2555
NOX1	0.9026	0.5104
E2F2	10.4139	0.3882
PSMB1	145.7736	155.7611
SYN1	0.9356	0.255
JARID2	29.2068	6.6733
CDKL5	5.0141	2.7588
CAMK1G	0.7496	0.338
CDK11A	0.2846	0.3489
NADK	22.6455	36.6117
TFAP2B	0.1946	3.1564
TFAP2D	0	0
DLEC1	0.1257	0.6227
CYTH3	25.6779	34.9178
ADAM22	0.225	2.7418
SYPL1	143.6441	147.0497
CYB561	130.1274	24.5922
SPAG9	20.3693	33.8422
CELSR3	1.1492	0.3437
AASS	1.3552	22.154
PLEKHG6	33.978	34.1786
SS18L2	13.9701	6.7027
MPND	10.5197	4.2234
MGST1	58.6728	241.8966
CRY1	11.9887	9.9984
PGLYRP1	0.0705	0.1833
NFIX	65.0772	125.1207
ST3GAL1	70.6494	27.5247
MMP25	1.8332	0.3159
IL32	235.2653	11.8791
PKD1	5.4677	11.5352
MAPK8IP2	70.4375	0.7917
MED24	36.6654	17.1784
RHOBTB2	3.2831	4.4964
HEATR5B	16.0261	17.7951
SEC62	38.5669	90.2332
RPS20	336.5815	413.273
CSDE1	455.457	590.2814
UBE3C	72.263	29.0934
REV3L	2.6223	14.2292
TENM1	0.1199	1.8521
PAX7	0.0077	0.0067
MASP2	0.082	1.545
IYD	0.0337	0.0251
FAM76A	12.1347	15.464
TRAF3IP3	0.4571	0.6086
POMT2	5.6442	4.5531
VTA1	15.6258	13.9799
MLXIPL	0.5907	40.3845
BAZ1B	86.5041	48.1354
RANBP9	33.0843	29.2766
ETV7	7.7764	1.0207
SPRTN	5.5758	3.6192
METTL13	41.1692	21.6741
DYRK4	4.5623	2.8339
ZNF207	20.2698	13.9398
UQCRC1	223.1742	94.1954
STARD3NL	23.0553	13.9094
CD9	171.779	47.1959
HHATL	0.0346	1.4383
NCAPD2	62.8049	17.5083
IFFO1	4.3892	9.2926
GIPR	0.3248	0.6061
PHF7	1.6909	6.5341
SEMA3G	2.5803	103.6162
NISCH	18.5497	32.8076
STAB1	5.08	39.7219
FUZ	2.0952	11.2385
SLC6A13	0	0.0408
IDS	1.8575	1.9926
PRSS3	9.6289	0.0607
ZNF200	3.7997	2.5045
CD4	8.2338	35.0844
LRRC23	6.7519	4.6502
BTK	1.047	3.9344
HFE	4.4488	10.9031
SCMH1	43.0511	32.0018
FYN	12.7246	26.0222
HIVEP2	10.143	15.8417
FMO1	0.845	7.4958
LYPLA2	144.1558	26.1199
CLCN6	1.8254	11.8324
MRC2	105.4759	69.509
NME1-NME2	0	0
SLC6A7	0.0467	0.0304
TSPAN9	22.5234	23.7369
BTBD7	6.0713	12.691
APBA3	7.7839	3.0387
MKS1	2.0559	2.174
ABHD5	12.363	48.2624
ANOS1	2.7477	15.6776
AKAP8L	11.3367	7.5906
MBTD1	7.7927	9.2212
UTP18	46.9419	19.2734
RNF216	37.461	15.729
TTC19	12.6758	15.9883
