sgRNA	Target_gene	FLAG(strand)	Chr	Start	End	Match
sgWASH1_4	WASH1	16	chr1	16856	16876	TRUE
sgOR4F17_2	OR4F17	16	chr1	69363	69383	TRUE
sgOR4F17_1	OR4F17	0	chr1	69460	69480	TRUE
sgOR4F5_4	OR4F5	0	chr1	69496	69516	TRUE
sgOR4F5_2	OR4F5	16	chr1	69560	69580	TRUE
sgOR4F5_3	OR4F5	16	chr1	69612	69632	TRUE
sgOR4F4_4	OR4F4	0	chr1	69629	69649	TRUE
sgOR4F17_4	OR4F17	16	chr1	69647	69667	TRUE
sgOR4F16_4	OR4F16	0	chr1	451270	451290	TRUE
sgOR4F29_4	OR4F29	0	chr1	451528	451548	TRUE
sgOR4F29_3	OR4F29	0	chr1	686321	686341	TRUE
sgOR4F16_1	OR4F16	0	chr1	686460	686480	TRUE
sgSAMD11_2	SAMD11	16	chr1	930314	930334	TRUE
sgSAMD11_4	SAMD11	16	chr1	935826	935846	TRUE
sgSAMD11_3	SAMD11	0	chr1	939108	939128	TRUE
sgSAMD11_1	SAMD11	16	chr1	941222	941242	TRUE
sgNOC2L_2	NOC2L	0	chr1	952009	952029	TRUE
sgNOC2L_4	NOC2L	16	chr1	953264	953284	TRUE
sgNOC2L_1	NOC2L	16	chr1	956146	956166	TRUE
sgNOC2L_3	NOC2L	16	chr1	958946	958966	TRUE
sgKLHL17_4	KLHL17	0	chr1	961488	961508	TRUE
sgKLHL17_2	KLHL17	16	chr1	961713	961733	TRUE
sgKLHL17_3	KLHL17	0	chr1	962423	962443	TRUE
sgKLHL17_1	KLHL17	0	chr1	963375	963395	TRUE
sgPLEKHN1_3	PLEKHN1	16	chr1	966743	966763	TRUE
sgPLEKHN1_1	PLEKHN1	0	chr1	970375	970395	TRUE
sgPLEKHN1_2	PLEKHN1	16	chr1	970698	970718	TRUE
sgPLEKHN1_4	PLEKHN1	0	chr1	972317	972337	TRUE
sgPERM1_2	PERM1	16	chr1	979841	979861	TRUE
sgPERM1_1	PERM1	0	chr1	980052	980072	TRUE
sgPERM1_3	PERM1	16	chr1	980283	980303	TRUE
sgPERM1_4	PERM1	16	chr1	980708	980728	TRUE
sgHES4_4	HES4	0	chr1	999394	999414	TRUE
sgHES4_1	HES4	16	chr1	999554	999574	TRUE
sgHES4_3	HES4	16	chr1	999694	999714	TRUE
sgHES4_2	HES4	16	chr1	999883	999903	TRUE
sgRPL39_1	RPL39	16	chr1	1008155	1008175	TRUE
sgISG15_2	ISG15	16	chr1	1014048	1014068	TRUE
sgISG15_3	ISG15	16	chr1	1014124	1014144	TRUE
sgISG15_1	ISG15	0	chr1	1014230	1014250	TRUE
sgISG15_4	ISG15	0	chr1	1014271	1014291	TRUE
sgAGRN_4	AGRN	0	chr1	1043436	1043456	TRUE
sgAGRN_1	AGRN	0	chr1	1044399	1044419	TRUE
sgAGRN_2	AGRN	0	chr1	1046681	1046701	TRUE
sgAGRN_3	AGRN	16	chr1	1048023	1048043	TRUE
sgRNF223_4	RNF223	16	chr1	1072082	1072102	TRUE
sgRNF223_1	RNF223	0	chr1	1072275	1072295	TRUE
sgRNF223_3	RNF223	16	chr1	1072371	1072391	TRUE
sgRNF223_2	RNF223	0	chr1	1072405	1072425	TRUE
sgC1orf159_2	C1orf159	0	chr1	1085924	1085944	TRUE
sgC1orf159_3	C1orf159	0	chr1	1087532	1087552	TRUE
sgC1orf159_1	C1orf159	16	chr1	1091470	1091490	TRUE
sgC1orf159_4	C1orf159	0	chr1	1091507	1091527	TRUE
sgTTLL10_2	TTLL10	0	chr1	1180106	1180126	TRUE
sgTTLL10_4	TTLL10	16	chr1	1180534	1180554	TRUE
sgTTLL10_3	TTLL10	0	chr1	1182403	1182423	TRUE
sgTTLL10_1	TTLL10	0	chr1	1183002	1183022	TRUE
sgTNFRSF18_2	TNFRSF18	0	chr1	1204209	1204229	TRUE
sgTNFRSF18_1	TNFRSF18	16	chr1	1204446	1204466	TRUE
sgTNFRSF18_3	TNFRSF18	16	chr1	1205438	1205458	TRUE
sgTNFRSF18_4	TNFRSF18	0	chr1	1206376	1206396	TRUE
sgTNFRSF4_4	TNFRSF4	16	chr1	1212077	1212097	TRUE
sgTNFRSF4_3	TNFRSF4	16	chr1	1212660	1212680	TRUE
sgTNFRSF4_2	TNFRSF4	0	chr1	1213662	1213682	TRUE
sgTNFRSF4_1	TNFRSF4	16	chr1	1213731	1213751	TRUE
sgSDF4_2	SDF4	16	chr1	1218886	1218906	TRUE
sgSDF4_1	SDF4	16	chr1	1223268	1223288	TRUE
sgSDF4_3	SDF4	16	chr1	1228604	1228624	TRUE
sgSDF4_4	SDF4	0	chr1	1228644	1228664	TRUE
sgB3GALT6_4	B3GALT6	16	chr1	1232395	1232415	TRUE
sgB3GALT6_1	B3GALT6	0	chr1	1232656	1232676	TRUE
sgB3GALT6_2	B3GALT6	16	chr1	1232724	1232744	TRUE
sgB3GALT6_3	B3GALT6	0	chr1	1232903	1232923	TRUE
sgFAM132A_2	FAM132A	0	chr1	1243484	1243504	TRUE
sgFAM132A_3	FAM132A	0	chr1	1243982	1244002	TRUE
sgFAM132A_4	FAM132A	16	chr1	1244230	1244250	TRUE
sgFAM132A_1	FAM132A	16	chr1	1244435	1244455	TRUE
sgUBE2J2_2	UBE2J2	16	chr1	1257228	1257248	TRUE
sgUBE2J2_1	UBE2J2	0	chr1	1263335	1263355	TRUE
sgUBE2J2_4	UBE2J2	0	chr1	1267859	1267879	TRUE
sgUBE2J2_3	UBE2J2	16	chr1	1267948	1267968	TRUE
sgSCNN1D_2	SCNN1D	0	chr1	1286104	1286124	TRUE
sgSCNN1D_4	SCNN1D	0	chr1	1286257	1286277	TRUE
sgSCNN1D_1	SCNN1D	0	chr1	1287138	1287158	TRUE
sgSCNN1D_3	SCNN1D	0	chr1	1287539	1287559	TRUE
sgACAP3_3	ACAP3	16	chr1	1295904	1295924	TRUE
sgACAP3_1	ACAP3	0	chr1	1297821	1297841	TRUE
sgACAP3_2	ACAP3	0	chr1	1298650	1298670	TRUE
sgACAP3_4	ACAP3	16	chr1	1302942	1302962	TRUE
sgPUSL1_4	PUSL1	0	chr1	1308686	1308706	TRUE
sgPUSL1_2	PUSL1	16	chr1	1309093	1309113	TRUE
sgPUSL1_1	PUSL1	16	chr1	1309537	1309557	TRUE
sgPUSL1_3	PUSL1	16	chr1	1309780	1309800	TRUE
sgCPSF3L_2	CPSF3L	16	chr1	1313882	1313902	TRUE
sgCPSF3L_3	CPSF3L	0	chr1	1315400	1315420	TRUE
sgCPSF3L_1	CPSF3L	16	chr1	1319381	1319401	TRUE
sgCPSF3L_4	CPSF3L	16	chr1	1321920	1321940	TRUE
sgCPTP_4	CPTP	0	chr1	1326996	1327016	TRUE
sgCPTP_2	CPTP	0	chr1	1327302	1327322	TRUE
sgCPTP_3	CPTP	16	chr1	1327418	1327438	TRUE
sgCPTP_1	CPTP	16	chr1	1327505	1327525	TRUE
sgTAS1R3_3	TAS1R3	16	chr1	1331743	1331763	TRUE
sgTAS1R3_1	TAS1R3	16	chr1	1332270	1332290	TRUE
sgTAS1R3_2	TAS1R3	16	chr1	1332695	1332715	TRUE
sgTAS1R3_4	TAS1R3	0	chr1	1332936	1332956	TRUE
sgDVL1_1	DVL1	16	chr1	1338404	1338424	TRUE
sgDVL1_4	DVL1	16	chr1	1339768	1339788	TRUE
sgDVL1_2	DVL1	16	chr1	1340129	1340149	TRUE
sgDVL1_3	DVL1	0	chr1	1342041	1342061	TRUE
sgMXRA8_3	MXRA8	16	chr1	1354876	1354896	TRUE
sgMXRA8_1	MXRA8	16	chr1	1355039	1355059	TRUE
sgMXRA8_4	MXRA8	0	chr1	1355230	1355250	TRUE
sgMXRA8_2	MXRA8	0	chr1	1355734	1355754	TRUE
sgAURKAIP1_3	AURKAIP1	0	chr1	1374187	1374207	TRUE
sgAURKAIP1_2	AURKAIP1	0	chr1	1374223	1374243	TRUE
sgAURKAIP1_4	AURKAIP1	16	chr1	1374335	1374355	TRUE
sgAURKAIP1_1	AURKAIP1	0	chr1	1374370	1374390	TRUE
sgCCNL2_1	CCNL2	0	chr1	1390817	1390837	TRUE
sgCCNL2_3	CCNL2	16	chr1	1395392	1395412	TRUE
sgCCNL2_2	CCNL2	16	chr1	1398599	1398619	TRUE
sgCCNL2_4	CCNL2	16	chr1	1399258	1399278	TRUE
sgMRPL20_4	MRPL20	16	chr1	1405824	1405844	TRUE
sgMRPL20_2	MRPL20	16	chr1	1406986	1407006	TRUE
sgMRPL20_3	MRPL20	16	chr1	1407133	1407153	TRUE
sgMRPL20_1	MRPL20	0	chr1	1407152	1407172	TRUE
sgANKRD65_4	ANKRD65	0	chr1	1419507	1419527	TRUE
sgANKRD65_3	ANKRD65	0	chr1	1420070	1420090	TRUE
sgANKRD65_1	ANKRD65	0	chr1	1420163	1420183	TRUE
sgANKRD65_2	ANKRD65	16	chr1	1420438	1420458	TRUE
sgTMEM88B_1	TMEM88B	16	chr1	1426354	1426374	TRUE
sgTMEM88B_4	TMEM88B	16	chr1	1426379	1426399	TRUE
sgTMEM88B_3	TMEM88B	16	chr1	1427575	1427595	TRUE
sgVWA1_3	VWA1	0	chr1	1437067	1437087	TRUE
sgVWA1_2	VWA1	0	chr1	1439069	1439089	TRUE
sgVWA1_1	VWA1	16	chr1	1439162	1439182	TRUE
sgVWA1_4	VWA1	0	chr1	1439226	1439246	TRUE
sgATAD3C_4	ATAD3C	0	chr1	1452057	1452077	TRUE
sgATAD3C_2	ATAD3C	0	chr1	1454401	1454421	TRUE
sgATAD3C_1	ATAD3C	0	chr1	1455452	1455472	TRUE
sgATAD3C_3	ATAD3C	0	chr1	1455813	1455833	TRUE
sgATAD3B_4	ATAD3B	0	chr1	1477263	1477283	TRUE
sgATAD3B_3	ATAD3B	0	chr1	1477266	1477286	TRUE
sgATAD3B_2	ATAD3B	0	chr1	1485072	1485092	TRUE
sgATAD3A_4	ATAD3A	16	chr1	1520265	1520285	TRUE
sgATAD3A_3	ATAD3A	16	chr1	1520586	1520606	TRUE
sgATAD3A_2	ATAD3A	0	chr1	1522800	1522820	TRUE
sgATAD3A_1	ATAD3A	0	chr1	1523861	1523881	TRUE
sgATAD3B_1	ATAD3B	0	chr1	1523881	1523901	TRUE
sgTMEM240_1	TMEM240	16	chr1	1535686	1535706	TRUE
sgTMEM240_4	TMEM240	16	chr1	1535724	1535744	TRUE
sgTMEM240_2	TMEM240	16	chr1	1535768	1535788	TRUE
sgTMEM240_3	TMEM240	0	chr1	1539767	1539787	TRUE
sgSSU72_1	SSU72	0	chr1	1544881	1544901	TRUE
sgSSU72_2	SSU72	16	chr1	1544948	1544968	TRUE
sgSSU72_3	SSU72	16	chr1	1564883	1564903	TRUE
sgSSU72_4	SSU72	0	chr1	1574461	1574481	TRUE
sgC1orf233_3	C1orf233	0	chr1	1599587	1599607	TRUE
sgC1orf233_2	C1orf233	0	chr1	1599650	1599670	TRUE
sgC1orf233_4	C1orf233	0	chr1	1599691	1599711	TRUE
sgC1orf233_1	C1orf233	0	chr1	1599891	1599911	TRUE
sgMIB2_3	MIB2	0	chr1	1625082	1625102	TRUE
sgMIB2_4	MIB2	0	chr1	1626882	1626902	TRUE
sgMIB2_1	MIB2	0	chr1	1627293	1627313	TRUE
sgMIB2_2	MIB2	16	chr1	1627798	1627818	TRUE
sgMMP23B_2	MMP23B	16	chr1	1632289	1632309	TRUE
sgMMP23B_3	MMP23B	0	chr1	1633271	1633291	TRUE
sgMMP23B_4	MMP23B	0	chr1	1633804	1633824	TRUE
sgCDK11B_3	CDK11B	16	chr1	1637462	1637482	TRUE
sgCDK11B_2	CDK11B	16	chr1	1642482	1642502	TRUE
sgCDK11B_1	CDK11B	16	chr1	1652467	1652487	TRUE
sgSLC35E2B_4	SLC35E2B	16	chr1	1670117	1670137	TRUE
sgSLC35E2B_1	SLC35E2B	16	chr1	1671547	1671567	TRUE
sgRPS7_2	RPS7	0	chr1	1674156	1674176	TRUE
sgSLC35E2B_2	SLC35E2B	0	chr1	1676132	1676152	TRUE
sgSLC35E2_4	SLC35E2	16	chr1	1676457	1676477	TRUE
sgSLC35E2B_3	SLC35E2B	0	chr1	1676496	1676516	TRUE
sgMMP23B_1	MMP23B	16	chr1	1700205	1700225	TRUE
sgCDK11A_2	CDK11A	16	chr1	1704604	1704624	TRUE
sgCDK11A_3	CDK11A	0	chr1	1707442	1707462	TRUE
sgCDK11A_1	CDK11A	16	chr1	1719330	1719350	TRUE
sgCDK11B_4	CDK11B	0	chr1	1721633	1721653	TRUE
sgCDK11A_4	CDK11A	16	chr1	1721651	1721671	TRUE
sgSLC35E2_3	SLC35E2	0	chr1	1738943	1738963	TRUE
sgSLC35E2_2	SLC35E2	0	chr1	1738990	1739010	TRUE
sgSLC35E2_1	SLC35E2	16	chr1	1739355	1739375	TRUE
sgNADK_3	NADK	16	chr1	1755376	1755396	TRUE
sgNADK_4	NADK	0	chr1	1755446	1755466	TRUE
sgNADK_1	NADK	16	chr1	1756505	1756525	TRUE
sgNADK_2	NADK	16	chr1	1765291	1765311	TRUE
sgGNB1_2	GNB1	16	chr1	1790543	1790563	TRUE
sgGNB1_1	GNB1	16	chr1	1804459	1804479	TRUE
sgGNB1_4	GNB1	0	chr1	1806502	1806522	TRUE
sgGNB1_3	GNB1	16	chr1	1815815	1815835	TRUE
sgCALML6_3	CALML6	0	chr1	1915714	1915734	TRUE
sgCALML6_4	CALML6	0	chr1	1916494	1916514	TRUE
sgCALML6_1	CALML6	0	chr1	1916754	1916774	TRUE
sgCALML6_2	CALML6	0	chr1	1916789	1916809	TRUE
sgTMEM52_2	TMEM52	0	chr1	1918120	1918140	TRUE
sgTMEM52_1	TMEM52	16	chr1	1918304	1918324	TRUE
sgTMEM52_4	TMEM52	16	chr1	1918896	1918916	TRUE
sgTMEM52_3	TMEM52	0	chr1	1919034	1919054	TRUE
sgCFAP74_2	CFAP74	0	chr1	1930240	1930260	TRUE
sgCFAP74_4	CFAP74	0	chr1	1939684	1939704	TRUE
